2026-06-26 20:33:17.825266 - TCP Packet | 40.74.98.199 -> 192.168.1.7
2026-06-26 20:33:30.901734 - TCP Packet | 204.79.197.203 -> 192.168.1.7
2026-06-26 20:33:30.919499 - TCP Packet | 192.168.1.7 -> 204.79.197.203
2026-06-26 20:33:30.935478 - TCP Packet | 204.79.197.203 -> 192.168.1.7
2026-06-26 20:33:30.961302 - TCP Packet | 204.79.197.203 -> 192.168.1.7
2026-06-26 20:33:30.969405 - TCP Packet | 204.79.197.203 -> 192.168.1.7
2026-06-26 20:33:30.983276 - TCP Packet | 192.168.1.7 -> 204.79.197.203
2026-06-26 20:33:30.997145 - TCP Packet | 204.79.197.203 -> 192.168.1.7
2026-06-26 20:33:31.013051 - TCP Packet | 204.79.197.203 -> 192.168.1.7
2026-06-26 20:33:31.017091 - TCP Packet | 192.168.1.7 -> 204.79.197.203
2026-06-26 20:33:31.031044 - TCP Packet | 204.79.197.203 -> 192.168.1.7
2026-06-26 20:33:31.043042 - TCP Packet | 204.79.197.203 -> 192.168.1.7
2026-06-26 20:33:31.061088 - TCP Packet | 192.168.1.7 -> 204.79.197.203
2026-06-26 20:33:31.065139 - TCP Packet | 204.79.197.203 -> 192.168.1.7
2026-06-26 20:33:31.088969 - TCP Packet | 192.168.1.7 -> 204.79.197.203
2026-06-26 20:33:31.106936 - TCP Packet | 204.79.197.203 -> 192.168.1.7
2026-06-26 20:33:31.114780 - TCP Packet | 204.79.197.203 -> 192.168.1.7
2026-06-26 20:33:31.160882 - TCP Packet | 192.168.1.7 -> 204.79.197.203
2026-06-26 20:33:36.740004 - TCP Packet | 192.168.1.7 -> 23.103.238.133
2026-06-26 20:33:36.772316 - TCP Packet | 23.103.238.133 -> 192.168.1.7
2026-06-26 20:33:38.443250 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:38.462704 - TCP Packet | 192.168.1.7 -> 184.27.197.72
2026-06-26 20:33:38.900359 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:38.912210 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:38.918000 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:38.932127 - TCP Packet | 192.168.1.7 -> 184.27.197.72
2026-06-26 20:33:38.962074 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:38.974066 - TCP Packet | 192.168.1.7 -> 184.27.197.72
2026-06-26 20:33:38.994097 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:39.008059 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:39.015908 - TCP Packet | 192.168.1.7 -> 184.27.197.72
2026-06-26 20:33:39.024042 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:39.028092 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:39.040418 - TCP Packet | 192.168.1.7 -> 184.27.197.72
2026-06-26 20:33:39.044471 - TCP Packet | 192.168.1.7 -> 184.27.197.72
2026-06-26 20:33:39.056819 - TCP Packet | 184.27.197.72 -> 192.168.1.7
2026-06-26 20:33:40.201948 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.247388 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.267568 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.329783 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:40.340200 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.351363 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.364403 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.380616 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:40.393036 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.399119 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.411402 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.419280 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.431077 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:40.447331 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.479569 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.486775 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.529904 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:40.541758 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:40.557629 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:40.561654 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:40.563665 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:40.573459 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.577477 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:40.579490 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.591363 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.593380 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:40.597410 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:40.607224 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.609236 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.621087 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:40.625126 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.650821 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:40.654848 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:40.660890 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:40.667431 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.677041 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:40.683071 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.686842 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:40.692882 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:40.696906 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.740526 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:40.746591 - TCP Packet | 192.168.1.7 -> 20.80.37.232
2026-06-26 20:33:41.000085 - TCP Packet | 20.80.37.232 -> 192.168.1.7
2026-06-26 20:33:41.012191 - TCP Packet | 192.168.1.7 -> 20.80.37.232
2026-06-26 20:33:41.022813 - TCP Packet | 192.168.1.7 -> 20.80.37.232
2026-06-26 20:33:41.026846 - TCP Packet | 192.168.1.7 -> 20.80.37.232
2026-06-26 20:33:41.846051 - TCP Packet | 20.80.37.232 -> 192.168.1.7
2026-06-26 20:33:41.884095 - TCP Packet | 192.168.1.7 -> 20.80.37.232
2026-06-26 20:33:41.953763 - TCP Packet | 20.80.37.232 -> 192.168.1.7
2026-06-26 20:33:42.063335 - TCP Packet | 192.168.1.7 -> 20.80.37.232
2026-06-26 20:33:43.859707 - TCP Packet | 192.168.1.7 -> 20.42.65.93
2026-06-26 20:33:44.993841 - UDP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:45.060246 - ICMP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:49.508295 - TCP Packet | 13.107.5.93 -> 192.168.1.7
2026-06-26 20:33:50.729315 - UDP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:50.745288 - ICMP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:50.957139 - TCP Packet | 192.168.1.7 -> 20.42.65.93
2026-06-26 20:33:53.590691 - UDP Packet | 192.168.1.2 -> 224.0.0.251
2026-06-26 20:33:53.668080 - TCP Packet | 192.168.1.7 -> 104.208.16.95
2026-06-26 20:33:54.098874 - TCP Packet | 104.208.16.95 -> 192.168.1.7
2026-06-26 20:33:55.001177 - UDP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:33:55.016211 - ICMP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:33:58.683764 - TCP Packet | 192.168.1.7 -> 108.159.46.77
2026-06-26 20:33:58.708588 - TCP Packet | 108.159.46.77 -> 192.168.1.7
2026-06-26 20:34:03.623089 - TCP Packet | 192.168.1.7 -> 104.208.16.95
2026-06-26 20:34:03.862912 - TCP Packet | 104.208.16.95 -> 192.168.1.7
2026-06-26 20:34:04.562104 - TCP Packet | 13.89.179.9 -> 192.168.1.7
2026-06-26 20:34:10.671641 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-26 20:34:10.680713 - TCP Packet | 192.168.1.7 -> 192.168.1.1
2026-06-26 20:34:10.697418 - TCP Packet | 192.168.1.1 -> 192.168.1.7
2026-06-29 19:03:16.663609 : TCP | 192.168.1.7:62338 -> 192.168.0.101:7680
2026-06-29 19:03:17.573886 : TCP | 192.168.1.7:56204 -> 18.172.78.40:443
2026-06-29 19:03:17.580084 : TCP | 192.168.1.7:64940 -> 204.79.197.203:443
2026-06-29 19:03:17.584091 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:17.606453 : TCP | 204.79.197.203:443 -> 192.168.1.7:64940
2026-06-29 19:03:17.614831 : TCP | 204.79.197.203:443 -> 192.168.1.7:64940
2026-06-29 19:03:17.617841 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:17.622844 : TCP | 18.172.78.40:443 -> 192.168.1.7:56204
2026-06-29 19:03:17.634677 : TCP | 192.168.1.7:56204 -> 18.172.78.40:443
2026-06-29 19:03:17.638671 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:17.648345 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:17.660831 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:17.724404 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:17.803373 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:18.226765 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:18.451245 : TCP | 192.168.1.7:51777 -> 108.159.46.77:443
2026-06-29 19:03:18.527423 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:18.551219 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:18.568940 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:18.572968 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:18.576996 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:18.587746 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:18.591772 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:18.603503 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:18.618060 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:18.622089 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:18.626115 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:18.631661 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:18.643735 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:18.651543 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:18.657594 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:18.673324 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:18.677363 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:18.689398 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:18.702387 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:18.708435 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:18.721560 : TCP | 108.159.46.77:443 -> 192.168.1.7:51777
2026-06-29 19:03:18.725600 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:18.738742 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:18.747525 : TCP | 192.168.1.7:51777 -> 108.159.46.77:443
2026-06-29 19:03:18.758072 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:18.764117 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:18.812962 : TCP | 192.168.1.7:51777 -> 108.159.46.77:443
2026-06-29 19:03:18.826799 : TCP | 192.168.1.7:51777 -> 108.159.46.77:443
2026-06-29 19:03:18.887294 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:18.901129 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:18.923798 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.055421 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.073766 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.090422 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.102023 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.108042 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.119114 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.123150 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.137532 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.237147 : TCP | 108.159.46.77:443 -> 192.168.1.7:51777
2026-06-29 19:03:19.242150 : TCP | 108.159.46.77:443 -> 192.168.1.7:51777
2026-06-29 19:03:19.254606 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.258606 : TCP | 108.159.46.77:443 -> 192.168.1.7:51777
2026-06-29 19:03:19.267772 : TCP | 108.159.46.77:443 -> 192.168.1.7:51777
2026-06-29 19:03:19.269795 : TCP | 192.168.1.7:51777 -> 108.159.46.77:443
2026-06-29 19:03:19.273827 : TCP | 192.168.1.7:51777 -> 108.159.46.77:443
2026-06-29 19:03:19.279874 : TCP | 192.168.1.7:51777 -> 108.159.46.77:443
2026-06-29 19:03:19.297516 : TCP | 192.168.1.7:51777 -> 108.159.46.77:443
2026-06-29 19:03:19.321409 : TCP | 108.159.46.77:443 -> 192.168.1.7:51777
2026-06-29 19:03:19.325438 : TCP | 108.159.46.77:443 -> 192.168.1.7:51777
2026-06-29 19:03:19.327451 : TCP | 108.159.46.77:443 -> 192.168.1.7:51777
2026-06-29 19:03:19.333733 : TCP | 192.168.1.7:51777 -> 108.159.46.77:443
2026-06-29 19:03:19.341784 : TCP | 192.168.1.7:51777 -> 108.159.46.77:443
2026-06-29 19:03:19.349327 : TCP | 108.159.46.77:443 -> 192.168.1.7:51777
2026-06-29 19:03:19.353343 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:19.363145 : TCP | 192.168.1.7:62338 -> 192.168.0.101:7680
2026-06-29 19:03:19.373252 : TCP | 108.159.46.77:443 -> 192.168.1.7:51777
2026-06-29 19:03:19.386117 : TCP | 192.168.1.7:57143 -> 13.107.246.68:443
2026-06-29 19:03:19.390141 : TCP | 13.107.246.68:443 -> 192.168.1.7:57143
2026-06-29 19:03:19.394168 : TCP | 192.168.1.7:51777 -> 108.159.46.77:443
2026-06-29 19:03:19.402248 : TCP | 192.168.1.7:57143 -> 13.107.246.68:443
2026-06-29 19:03:19.406276 : TCP | 192.168.1.7:57143 -> 13.107.246.68:443
2026-06-29 19:03:19.410301 : TCP | 192.168.1.7:57143 -> 13.107.246.68:443
2026-06-29 19:03:19.423434 : TCP | 13.107.246.68:443 -> 192.168.1.7:57143
2026-06-29 19:03:19.427464 : TCP | 13.107.246.68:443 -> 192.168.1.7:57143
2026-06-29 19:03:19.442346 : TCP | 13.107.246.68:443 -> 192.168.1.7:57143
2026-06-29 19:03:19.451457 : TCP | 192.168.1.7:57143 -> 13.107.246.68:443
2026-06-29 19:03:19.471412 : TCP | 13.107.246.68:443 -> 192.168.1.7:57143
2026-06-29 19:03:19.475410 : TCP | 192.168.1.7:57143 -> 13.107.246.68:443
2026-06-29 19:03:19.480161 : TCP | 13.107.246.68:443 -> 192.168.1.7:57143
2026-06-29 19:03:19.488226 : TCP | 192.168.1.7:57143 -> 13.107.246.68:443
2026-06-29 19:03:19.520521 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.526563 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.537938 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.543971 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.552034 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:19.599671 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.609280 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:19.621654 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.623671 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.638347 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:19.780007 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.792081 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:19.813719 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.821779 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.832798 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.836824 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:19.854848 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.877684 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:19.952634 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.955633 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.961633 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:19.972312 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:19.976313 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:19.985287 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.006457 : TCP | 192.168.1.7:50063 -> 52.182.143.211:443
2026-06-29 19:03:20.039496 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.047544 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.053577 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.059351 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.069413 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.075194 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.092071 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.110505 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.140676 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.151657 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.155679 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.159705 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.173532 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.177548 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.185348 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.188282 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.197085 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:20.203120 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:20.205130 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:20.209149 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:20.220074 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.222082 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.226103 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.232651 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.236191 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:20.238863 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:20.238863 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:20.253238 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:20.257262 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:20.261282 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.277367 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.285556 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.291644 : TCP | 192.168.1.7:57925 -> 204.79.197.203:443
2026-06-29 19:03:20.298351 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:20.311499 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:20.335105 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:20.339129 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:20.347199 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:20.359255 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:20.369833 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:20.373859 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
2026-06-29 19:03:20.472919 : TCP | 204.79.197.203:443 -> 192.168.1.7:57925
